Nation,PlayerName,Position,ShirtNo
New Zealand,Ryan Thomas,MF,23
New Zealand,Callan Elliot,DF,24
New Zealand,Lachlan Bayliss,MF,25
New Zealand,Tommy Smith,DF,26
Norway,Ørjan Nyland,GK,1
Norway,Morten Thorsby,MF,2
Norway,Kristoffer Ajer,DF,3
Norway,Leo Østigård,DF,4
Norway,David Møller Wolfe,DF,5
Norway,Patrick Berg,MF,6
Norway,Alexander Sørloth,FW,7
Norway,Sander Berge,MF,8
Norway,Erling Haaland,FW,9
Norway,Martin Ødegaard,MF,10
Norway,Jørgen Strand Larsen,FW,11
Norway,Sander Tangvik,GK,12
Norway,Egil Selvik,GK,13
Norway,Fredrik Aursnes,MF,14
Norway,Fredrik André Bjørkan,DF,15
Norway,Marcus Holmgren Pedersen,DF,16
Norway,Torbjørn Heggem,DF,17
Norway,Kristian Thorstvedt,MF,18
Norway,Thelo Aasgaard,MF,19
Norway,Antonio Nusa,MF,20
Norway,Andreas Schjelderup,MF,21
Norway,Oscar Bobb,MF,22
Norway,Jens Petter Hauge,MF,23
Norway,Sondre Langås,DF,24
Norway,Henrik Falchener,DF,25
Norway,Julian Ryerson,DF,26
Panama,Luis Mejía,GK,1
Panama,César Blackman,DF,2
Panama,José Córdoba,DF,3
Panama,Fidel Escobar,DF,4
Panama,Edgardo Fariña,DF,5
Panama,Cristian Martínez,MF,6
Panama,José Luis Rodríguez,MF,7
Panama,Adalberto Carrasquilla,MF,8
Panama,Tomás Rodríguez,FW,9
Panama,Ismael Díaz,MF,10
Panama,Yoel Bárcenas,MF,11
Panama,César Samudio,GK,12
Panama,Jiovany Ramos,DF,13
Panama,Carlos Harvey,DF,14
Panama,Eric Davis,DF,15
Panama,Andrés Andrade,DF,16
Panama,José Fajardo,FW,17
Panama,Cecilio Waterman,FW,18
Panama,Alberto Quintero,MF,19
Panama,Aníbal Godoy,MF,20
Panama,César Yanis,MF,21
Panama,Orlando Mosquera,GK,22
Panama,Michael Amir Murillo,DF,23
Panama,Azarias Londoño,FW,24
Panama,Roderick Miller,DF,25
Panama,Jorge Gutiérrez,DF,26
Paraguay,Gatito Fernández,GK,1
Paraguay,Gustavo Velázquez,DF,2
Paraguay,Omar Alderete,DF,3
Paraguay,Juan José Cáceres,DF,4
Paraguay,Fabián Balbuena,DF,5
Paraguay,Júnior Alonso,DF,6
Paraguay,Ramón Sosa,MF,7
Paraguay,Diego Gómez,MF,8
Paraguay,Antonio Sanabria,FW,9
Paraguay,Miguel Almirón,MF,10
Paraguay,Maurício,MF,11
Paraguay,Orlando Gill,GK,12
Paraguay,José Canale,DF,13
Paraguay,Andrés Cubas,MF,14
Paraguay,Gustavo Gómez,DF,15
Paraguay,Damián Bobadilla,MF,16
Paraguay,Kaku,FW,17
Paraguay,Álex Arce,FW,18
Paraguay,Julio Enciso,FW,19
Paraguay,Braian Ojeda,MF,20
Paraguay,Gabriel Ávalos,FW,21
Paraguay,Gastón Olveira,GK,22
Paraguay,Matías Galarza,MF,23
Paraguay,Gustavo Caballero,MF,24
Paraguay,Isidro Pitta,FW,25
Paraguay,Alexandro Maidana,DF,26
Portugal,Diogo Costa,GK,1
Portugal,Nélson Semedo,DF,2
Portugal,Rúben Dias,DF,3
Portugal,Tomás Araújo,DF,4
Portugal,Diogo Dalot,DF,5
Portugal,Matheus Nunes,MF,6
Portugal,Cristiano Ronaldo,FW,7
Portugal,Bruno Fernandes,MF,8
Portugal,Gonçalo Ramos,FW,9
Portugal,Bernardo Silva,MF,10
Portugal,João Félix,FW,11
Portugal,José Sá,GK,12
Portugal,Renato Veiga,DF,13
Portugal,Gonçalo Inácio,DF,14
Portugal,João Neves,MF,15
Portugal,Francisco Trincão,FW,16
Portugal,Rafael Leão,FW,17
Portugal,Pedro Neto,FW,18
Portugal,Gonçalo Guedes,FW,19
Portugal,João Cancelo,DF,20
Portugal,Rúben Neves,MF,21
Portugal,Rui Silva,GK,22
Portugal,Vitinha,MF,23
Portugal,Samú Costa,DF,24
Portugal,Nuno Mendes,DF,25
Portugal,Francisco Conceição,FW,26
Qatar,Mahmud Abunada,GK,1
Qatar,Pedro Miguel,DF,2
Qatar,Lucas Mendes,DF,3
Qatar,Issa Laye,DF,4
Qatar,Jassem Gaber,DF,5
Qatar,Abdulaziz Hatem,MF,6
Qatar,Ahmed Alaaeldin,FW,7
Qatar,Edmilson Junior,FW,8
Qatar,Mohammed Muntari,FW,9
Qatar,Hassan Al-Haydos,FW,10
Qatar,Akram Afif,FW,11
Qatar,Karim Boudiaf,MF,12
Qatar,Ayoub Al-Oui,DF,13
Qatar,Homam Ahmed,DF,14
Qatar,Yusuf Abdurisag,FW,15
Qatar,Boualem Khoukhi,DF,16
Qatar,Ahmed Al-Ganehi,MF,17
Qatar,Sultan Al-Brake,DF,18
Qatar,Almoez Ali,FW,19
Qatar,Ahmed Fathy,MF,20
Qatar,Salah Zakaria,GK,21
Qatar,Meshaal Barsham,GK,22
Qatar,Assim Madibo,MF,23
Qatar,Tahsin Jamshid,FW,24
Qatar,Al-Hashmi Al-Hussain,DF,25
Qatar,Mohamed Manai,FW,26
Saudi Arabia,Nawaf Al-Aqidi,GK,1
Saudi Arabia,Ali Majrashi,DF,2
Saudi Arabia,Ali Lajami,DF,3
Saudi Arabia,Abdulelah Al-Amri,DF,4
Saudi Arabia,Hassan Al-Tambakti,DF,5
Saudi Arabia,Nasser Al-Dawsari,MF,6
Saudi Arabia,Musab Al-Juwayr,MF,7
Saudi Arabia,Ayman Yahya,FW,8
Saudi Arabia,Firas Al-Buraikan,FW,9
Saudi Arabia,Salem Al-Dawsari,FW,10
Saudi Arabia,Saleh Al-Shehri,FW,11
Saudi Arabia,Saud Abdulhamid,DF,12
Saudi Arabia,Nawaf Boushal,DF,13
Saudi Arabia,Hassan Kadesh,DF,14
Saudi Arabia,Abdullah Al-Khaibari,MF,15
Saudi Arabia,Ziyad Al-Johani,MF,16
Saudi Arabia,Khalid Al-Ghannam,FW,17
Saudi Arabia,Alaa Al-Hejji,MF,18
Saudi Arabia,Abdullah Al-Hamdan,FW,19
Saudi Arabia,Sultan Mandash,FW,20
Saudi Arabia,Mohammed Al-Owais,GK,21
Saudi Arabia,Ahmed Al-Kassar,GK,22
Saudi Arabia,Mohamed Kanno,MF,23
Saudi Arabia,Moteb Al-Harbi,DF,24
Saudi Arabia,Jehad Thakri,DF,25
Saudi Arabia,Mohammed Abu Al-Shamat,DF,26
Scotland,Angus Gunn,GK,1
Scotland,Aaron Hickey,DF,2
Scotland,Andy Robertson,DF,3
Scotland,Scott McTominay,MF,4
Scotland,Grant Hanley,DF,5
Scotland,Kieran Tierney,DF,6
Scotland,John McGinn,MF,7
Scotland,Tyler Fletcher,MF,8
Scotland,Lyndon Dykes,FW,9
Scotland,Ché Adams,FW,10
Scotland,Ryan Christie,MF,11
Scotland,Liam Kelly,GK,12
Scotland,Jack Hendry,DF,13
Scotland,Ross Stewart,FW,14
Scotland,John Souttar,DF,15
Scotland,Dominic Hyam,DF,16
Scotland,Ben Gannon-Doak,FW,17
Scotland,George Hirst,FW,18
Scotland,Lewis Ferguson,MF,19
Scotland,Lawrence Shankland,FW,20
Scotland,Craig Gordon,GK,21
Scotland,Nathan Patterson,DF,22
Scotland,Kenny McLean,MF,23
Scotland,Anthony Ralston,DF,24
Scotland,Findlay Curtis,FW,25
Scotland,Scott McKenna,DF,26
Senegal,Yehvann Diouf,GK,1
Senegal,Mamadou Sarr,DF,2
Senegal,Kalidou Koulibaly,DF,3
Senegal,Abdoulaye Seck,DF,4
Senegal,Idrissa Gueye,MF,5
Senegal,Pathé Ciss,MF,6
Senegal,Assane Diao,FW,7
Senegal,Lamine Camara,MF,8
Senegal,Bamba Dieng,FW,9
Senegal,Sadio Mané,FW,10
Senegal,Nicolas Jackson,FW,11
Senegal,Cherif Ndiaye,FW,12
Senegal,Iliman Ndiaye,FW,13
Senegal,Ismail Jakobs,DF,14
Senegal,Krépin Diatta,DF,15
Senegal,Édouard Mendy,GK,16
Senegal,Pape Matar Sarr,MF,17
Senegal,Ismaïla Sarr,FW,18
Senegal,Moussa Niakhaté,DF,19
Senegal,Ibrahim Mbaye,FW,20
Senegal,Habib Diarra,MF,21
Senegal,Bara Sapoko Ndiaye,MF,22
Senegal,Mory Diaw,GK,23
Senegal,Antoine Mendy,DF,24
Senegal,El Hadji Malick Diouf,DF,25
Senegal,Pape Gueye,MF,26
South Africa,Ronwen Williams,GK,1
South Africa,Thabang Matuludi,DF,2
South Africa,Khulumani Ndamane,DF,3
South Africa,Teboho Mokoena,MF,4
South Africa,Thalente Mbatha,MF,5
South Africa,Aubrey Modiba,DF,6
South Africa,Oswin Appollis,FW,7
South Africa,Tshepang Moremi,FW,8
South Africa,Lyle Foster,FW,9
South Africa,Relebohile Mofokeng,FW,10
South Africa,Themba Zwane,MF,11
South Africa,Thapelo Maseko,FW,12
South Africa,Sphephelo Sithole,MF,13
South Africa,Mbekezeli Mbokazi,DF,14
South Africa,Iqraam Rayners,FW,15
South Africa,Sipho Chaine,GK,16
South Africa,Evidence Makgopa,FW,17
South Africa,Samukele Kabini,DF,18
South Africa,Nkosinathi Sibisi,DF,19
South Africa,Khuliso Mudau,DF,20
South Africa,Ime Okon,DF,21
South Africa,Ricardo Goss,GK,22
South Africa,Jayden Adams,MF,23
South Africa,Olwethu Makhanya,DF,24
South Africa,Kamogelo Sebelebele,FW,25
South Africa,Bradley Cross,DF,26
South Korea,Kim Seung-gyu,GK,1
South Korea,Lee Han-beom,DF,2
South Korea,Lee Gi-hyuk,MF,3
South Korea,Kim Min-jae,DF,4
South Korea,Kim Tae-hyeon,DF,5
South Korea,Hwang In-beom,MF,6
South Korea,Son Heung-min,FW,7
South Korea,Paik Seung-ho,MF,8
South Korea,Cho Gue-sung,FW,9
South Korea,Lee Jae-sung,MF,10
South Korea,Hwang Hee-chan,MF,11
South Korea,Song Bum-keun,GK,12
South Korea,Lee Tae-seok,DF,13
South Korea,Cho Wi-je,DF,14
South Korea,Kim Moon-hwan,DF,15
South Korea,Park Jin-seob,DF,16
South Korea,Bae Jun-ho,MF,17
South Korea,Oh Hyeon-gyu,FW,18
South Korea,Lee Kang-in,MF,19
South Korea,Yang Hyun-jun,MF,20
South Korea,Jo Hyeon-woo,GK,21
South Korea,Seol Young-woo,DF,22
South Korea,Jens Castrop,DF,23
South Korea,Kim Jin-gyu,MF,24
South Korea,Eom Ji-sung,MF,25
South Korea,Lee Dong-gyeong,MF,26
Spain,David Raya,GK,1
Spain,Marc Pubill,DF,2
Spain,Álex Grimaldo,DF,3
Spain,Eric García,DF,4
Spain,Marcos Llorente,DF,5
Spain,Mikel Merino,MF,6
Spain,Ferran Torres,FW,7
Spain,Fabián Ruiz,MF,8
Spain,Gavi,MF,9
Spain,Dani Olmo,FW,10
Spain,Yéremy Pino,FW,11
Spain,Pedro Porro,DF,12
Spain,Joan Garcia,GK,13
Spain,Aymeric Laporte,DF,14
Spain,Álex Baena,MF,15
Spain,Rodri,MF,16
Spain,Nico Williams,FW,17
Spain,Martín Zubimendi,MF,18
Spain,Lamine Yamal,FW,19
Spain,Pedri,MF,20
Spain,Mikel Oyarzabal,FW,21
Spain,Pau Cubarsí,DF,22
Spain,Unai Simón,GK,23
Spain,Marc Cucurella,DF,24
Spain,Víctor Muñoz,FW,25
Spain,Borja Iglesias,FW,26
Sweden,Jacob Widell Zetterström,GK,1
Sweden,Gustaf Lagerbielke,DF,2
Sweden,Victor Lindelöf,DF,3
Sweden,Isak Hien,DF,4
Sweden,Gabriel Gudmundsson,DF,5
Sweden,Herman Johansson,DF,6
Sweden,Lucas Bergvall,MF,7
Sweden,Daniel Svensson,DF,8
Sweden,Alexander Isak,FW,9
Sweden,Benjamin Nygren,MF,10
Sweden,Anthony Elanga,FW,11
Sweden,Viktor Johansson,GK,12
Sweden,Ken Sema,MF,13
Sweden,Hjalmar Ekdal,DF,14
Sweden,Carl Starfelt,DF,15
Sweden,Jesper Karlström,MF,16
Sweden,Viktor Gyökeres,FW,17
Sweden,Yasin Ayari,MF,18
Sweden,Mattias Svanberg,MF,19
Sweden,Eric Smith,DF,20
Sweden,Alexander Bernhardsson,DF,21
Sweden,Besfort Zeneli,MF,22
Sweden,Kristoffer Nordfeldt,GK,23
Sweden,Elliot Stroud,DF,24
Sweden,Gustaf Nilsson,FW,25
Sweden,Taha Ali,FW,26
Switzerland,Gregor Kobel,GK,1
Switzerland,Miro Muheim,DF,2
Switzerland,Silvan Widmer,DF,3
Switzerland,Nico Elvedi,DF,4
Switzerland,Manuel Akanji,DF,5
Switzerland,Denis Zakaria,MF,6
Switzerland,Breel Embolo,FW,7
Switzerland,Remo Freuler,MF,8
Switzerland,Johan Manzambi,MF,9
Switzerland,Granit Xhaka,MF,10
Switzerland,Dan Ndoye,FW,11
Switzerland,Yvon Mvogo,GK,12
Switzerland,Ricardo Rodriguez,DF,13
Switzerland,Ardon Jashari,MF,14
Switzerland,Djibril Sow,MF,15
Switzerland,Christian Fassnacht,FW,16
Switzerland,Rubén Vargas,FW,17
Switzerland,Eray Cömert,DF,18
Switzerland,Noah Okafor,FW,19
Switzerland,Michel Aebischer,MF,20
Switzerland,Marvin Keller,GK,21
Switzerland,Fabian Rieder,MF,22
Switzerland,Zeki Amdouni,FW,23
Switzerland,Aurèle Amenda,DF,24
Switzerland,Luca Jaquez,DF,25
Switzerland,Cedric Itten,FW,26
Tunisia,Mouhib Chamakh,GK,1
Tunisia,Ali Abdi,DF,2
Tunisia,Montassar Talbi,DF,3
Tunisia,Omar Rekik,DF,4
Tunisia,Adem Arous,DF,5
Tunisia,Dylan Bronn,DF,6
Tunisia,Elias Achouri,FW,7
Tunisia,Elias Saad,FW,8
Tunisia,Hazem Mastouri,FW,9
Tunisia,Hannibal Mejbri,MF,10
Tunisia,Ismaël Gharbi,MF,11
Tunisia,Mortadha Ben Ouanes,DF,12
Tunisia,Rani Khedira,MF,13
Tunisia,Khalil Ayari,MF,14
Tunisia,Hadj Mahmoud,MF,15
Tunisia,Aymen Dahmen,GK,16
Tunisia,Ellyes Skhiri,MF,17
Tunisia,Rayan Elloumi,FW,18
Tunisia,Firas Chaouat,FW,19
Tunisia,Yan Valery,DF,20
Tunisia,Mohamed Amine Ben Hamida,DF,21
Tunisia,Sabri Ben Hessen,GK,22
Tunisia,Moutaz Neffati,DF,23
Tunisia,Raed Chikhaoui,DF,24
Tunisia,Anis Ben Slimane,MF,25
Tunisia,Sebastian Tounekti,MF,26
Turkey,Mert Günok,GK,1
Turkey,Zeki Çelik,DF,2
Turkey,Merih Demiral,DF,3
Turkey,Çağlar Söyüncü,DF,4
Turkey,Salih Özcan,MF,5
Turkey,Orkun Kökçü,MF,6
Turkey,Kerem Aktürkoğlu,FW,7
Turkey,Arda Güler,FW,8
Turkey,Deniz Gül,FW,9
Turkey,Hakan Çalhanoğlu,MF,10
Turkey,Kenan Yıldız,FW,11
Turkey,Altay Bayındır,GK,12
Turkey,Eren Elmalı,DF,13
Turkey,Abdülkerim Bardakcı,DF,14
Turkey,Ozan Kabak,DF,15
Turkey,İsmail Yüksek,MF,16
Turkey,İrfan Can Kahveci,FW,17
Turkey,Mert Müldür,DF,18
Turkey,Yunus Akgün,FW,19
Turkey,Ferdi Kadıoğlu,DF,20
Turkey,Barış Alper Yılmaz,FW,21
Turkey,Kaan Ayhan,MF,22
Turkey,Uğurcan Çakır,GK,23
Turkey,Oğuz Aydın,FW,24
Turkey,Samet Akaydin,DF,25
Turkey,Can Uzun,FW,26
United States,Matt Turner,GK,1
United States,Sergiño Dest,DF,2
United States,Chris Richards,DF,3
United States,Tyler Adams,MF,4
United States,Antonee Robinson,DF,5
United States,Auston Trusty,DF,6
United States,Giovanni Reyna,MF,7
United States,Weston McKennie,MF,8
United States,Ricardo Pepi,FW,9
United States,Christian Pulisic,FW,10
United States,Brenden Aaronson,FW,11
United States,Miles Robinson,DF,12
United States,Tim Ream,DF,13
United States,Sebastian Berhalter,MF,14
United States,Cristian Roldan,MF,15
United States,Alex Freeman,DF,16
United States,Malik Tillman,MF,17
United States,Max Arfsten,DF,18
United States,Haji Wright,FW,19
United States,Folarin Balogun,FW,20
United States,Timothy Weah,FW,21
United States,Mark McKenzie,DF,22
United States,Joe Scally,DF,23
United States,Matt Freese,GK,24
United States,Chris Brady,GK,25
United States,Alejandro Zendejas,FW,26
Uruguay,Sergio Rochet,GK,1
Uruguay,José María Giménez,DF,2
Uruguay,Sebastián Cáceres,DF,3
Uruguay,Ronald Araújo,DF,4
Uruguay,Manuel Ugarte,MF,5
Uruguay,Rodrigo Bentancur,MF,6
Uruguay,Nicolás de la Cruz,MF,7
Uruguay,Federico Valverde,MF,8
Uruguay,Darwin Núñez,FW,9
Uruguay,Giorgian de Arrascaeta,MF,10
Uruguay,Facundo Pellistri,FW,11
Uruguay,Santiago Mele,GK,12
Uruguay,Guillermo Varela,DF,13
Uruguay,Agustín Canobbio,MF,14
Uruguay,Emiliano Martínez,MF,15
Uruguay,Mathías Olivera,DF,16
Uruguay,Matías Viña,DF,17
Uruguay,Brian Rodríguez,FW,18
Uruguay,Rodrigo Aguirre,FW,19
Uruguay,Maximiliano Araújo,MF,20
Uruguay,Federico Viñas,FW,21
Uruguay,Joaquín Piquerez,MF,22
Uruguay,Fernando Muslera,GK,23
Uruguay,Santiago Bueno,DF,24
Uruguay,Juan Manuel Sanabria,MF,25
Uruguay,Rodrigo Zalazar,MF,26
Uzbekistan,Utkir Yusupov,GK,1
Uzbekistan,Abdukodir Khusanov,DF,2
Uzbekistan,Khojiakbar Alijonov,DF,3
Uzbekistan,Farrukh Sayfiev,DF,4
Uzbekistan,Rustam Ashurmatov,DF,5
Uzbekistan,Akmal Mozgovoy,MF,6
Uzbekistan,Otabek Shukurov,MF,7
Uzbekistan,Jamshid Iskanderov,MF,8
Uzbekistan,Odiljon Hamrobekov,MF,9
Uzbekistan,Jaloliddin Masharipov,MF,10
Uzbekistan,Oston Urunov,MF,11
Uzbekistan,Abduvohid Nematov,GK,12
Uzbekistan,Sherzod Nasrullaev,DF,13
Uzbekistan,Eldor Shomurodov,FW,14
Uzbekistan,Umar Eshmurodov,DF,15
Uzbekistan,Botirali Ergashev,GK,16
Uzbekistan,Dostonbek Khamdamov,MF,17
Uzbekistan,Abdulla Abdullaev,DF,18
Uzbekistan,Azizjon Ganiev,MF,19
Uzbekistan,Azizbek Amonov,FW,20
Uzbekistan,Igor Sergeev,FW,21
Uzbekistan,Abbosbek Fayzullaev,MF,22
Uzbekistan,Sherzod Esanov,MF,23
Uzbekistan,Bekhruz Karimov,DF,24
Uzbekistan,Avazbek Ulmasaliev,DF,25
Uzbekistan,Jakhongir Urozov,DF,26
